time_in_bed,time_asleep,wakeup_number,hrv,sleep_score
436,436,0,0,60
436,436,0,0,60
409,409,0,90,60
475,475,0,0,60
475,475,0,0,60
165,165,0,0,60
475,475,0,0,60
447,447,0,0,60
475,475,0,0,60
475,475,0,0,60
475,475,0,0,60
477,477,0,0,60
477,477,0,0,60
375,375,0,85,60
450,450,0,0,60
477,477,0,0,60
478,478,0,0,60
477,477,0,0,60
477,477,0,0,60
477,477,0,0,60
477,477,0,0,60
477,477,0,0,60
477,477,0,0,60
450,450,0,0,60
447,447,0,0,60
450,450,0,0,60
469,469,0,0,60
451,451,0,0,60
451,451,0,0,60
450,450,0,0,60
451,451,0,0,60
480,480,0,0,60
451,451,0,0,60
451,451,0,0,60
451,451,0,0,60
451,451,0,0,60
451,451,0,0,60
451,451,0,0,60
451,451,0,0,60
450,450,0,0,60
450,450,0,0,60
451,451,0,0,60
451,451,0,0,60
451,451,0,0,60
451,451,0,0,60
416,416,0,0,60
416,416,0,0,60
450,450,0,0,60
416,416,0,0,60
460,460,0,119,60
416,416,0,0,60
416,416,0,0,60
416,416,0,0,60
416,416,0,0,60
416,416,0,0,60
416,416,0,0,60
416,416,0,0,60
450,450,0,0,60
450,450,0,0,60
416,416,0,0,60
416,416,0,0,60
416,416,0,0,60
416,416,0,0,60
450,450,0,0,60
450,450,0,0,60
450,450,0,0,60
450,450,0,0,60
450,450,0,0,60
406,406,0,0,60
406,406,0,0,60
450,450,0,0,60
406,406,0,0,60
463,463,0,0,60
406,406,0,0,60
406,406,0,0,60
406,406,0,0,60
406,406,0,0,60
406,406,0,0,60
406,406,0,0,60
406,406,0,0,60
450,450,0,0,60
450,450,0,0,60
406,406,0,0,60
406,406,0,0,60
406,406,0,0,60
406,406,0,0,60
450,450,0,0,60
450,450,0,0,60
450,450,0,0,60
450,450,0,0,60
450,450,0,0,60
406,406,0,0,60
406,406,0,0,60
406,406,0,0,60
450,450,0,0,60
406,406,0,0,60
406,406,0,0,60
406,406,0,0,60
474,474,0,0,60
474,474,0,0,60
474,474,0,0,60
474,474,0,0,60
474,474,0,0,60
474,474,0,0,60
474,474,0,0,60
